universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Institut Pemerintahan Dalam Negeri;B;3115/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-27;Masih berlaku
Institut Pertanian Bogor;A;067/SK/BAN-PT/Ak-IV/PT/II/2013;2013;4;2018-02-21;Masih berlaku
Institut Sains dan Teknologi AKPRIND;B;243/SK/BAN-PT/Akred/PT/VII/2014;2014;5;2019-07-19;Masih berlaku
Institut Sains dan Teknologi Nasional;B;216/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Institut Seni Indonesia Denpasar;B;737/SK/BAN-PT/Akred/PT/VII/2015;2015;8;2020-07-10;Masih berlaku
Institut Seni Indonesia Padang Panjang;B;1282/SK/BAN-PT/Akred/PT/XII/2015;2015;10;2020-12-29;Masih berlaku
Institut Seni Indonesia Surakarta;B;363/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-09;Masih berlaku
Institut Seni Indonesia Yogyakarta;B;025/SK/BAN-PT/Akred/PT/I/2014;2014;5;2019-01-16;Masih berlaku
Institut Studi Islam Darussalam Gontor;B;345/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Institut Studi Islam Fahmina;C;913/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Institut Teknologi Adhi Tama Surabaya;C;903/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Institut Teknologi Bandung;A;066/SK/BAN-PT/Ak-IV/PT/II/2013;2013;4;2018-02-21;Masih berlaku
Institut Teknologi Medan;C;1273/SK/BAN-PT/Akred/PT/XII/2015;2015;1;2020-12-29;Masih berlaku
Institut Teknologi Nasional Malang;B;815/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-07;Masih berlaku
Institut Teknologi Padang;B;3171/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Institut Teknologi Sepuluh Nopember;A;015/SK/BAN-PT/Akred/PT/I/2014;2014;7;2019-01-16;Masih berlaku
Politeknik Aceh;B;283/SK/BAN-PT/Akred/PT/IV/2015;2015;13;2020-04-18;Masih berlaku
Politeknik Aceh Selatan;C;650/SK/BAN-PT/Akred/PT/VII/2015;2015;13;2020-07-04;Masih berlaku
Politeknik Akamigas Palembang;C;228/SK/BAN-PT/Akred/PT/VII/2014;2014;2;2019-07-19;Masih berlaku
Politeknik Anika Palembang;C;951/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-29;Masih berlaku
Politeknik Bina Budaya Cipta;C;725/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-10;Masih berlaku
Politeknik Caltex;B;652/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Politeknik Darusalam;C;1219/SK/BAN-PT/Akred/PT/XI/2015;2015;2;2020-12-19;Masih berlaku
Politeknik Elektronika Negeri Surabaya;A;168/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Politeknik Harapan Bersama;C;349/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-09;Masih berlaku
Politeknik Hasnur;C;183/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Politeknik Ilmu Pelayaran Makassar;B;980/SK/BAN-PT/Akred/PT/IX/2015;2015;9;2020-09-03;Masih berlaku
Politeknik Katolik Saint Paul;C;3134/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Politeknik Kelapa Sawit Citra Widya Edukasi;C;410/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-15;Masih berlaku
Politeknik Kemenkes Bengkulu;B;1058/SK/BAN-PT/Akred/PT/X/2015;2015;2;2020-10-03;Masih berlaku
Politeknik Kent;C;607/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Politeknik Kesehatan Kemenkes Denpasar;B;0099/SK/BAN-PT/Akred/PT/III/2016;2016;8;2021-03-05;Masih berlaku
Politeknik Kesehatan Kemenkes Kendari;C;1068/SK/BAN-PT/Akred/PT/X/2015;2015;9;2020-10-03;Masih berlaku
Politeknik Kesehatan Kemenkes Makassar;B;1285/SK/BAN-PT/Akred/PT/XII/2015;2015;9;2020-12-29;Masih berlaku
Politeknik Kesehatan Kemenkes Malang;B;1071/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-10-03;Masih berlaku
Politeknik Kesehatan Kemenkes Manado;B;359/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Politeknik Kesehatan Kementerian Kesehatan Kupang;B;3111/SK/BAN-PT/Akred/PT/XII/2016;2016;8;2021-12-27;Masih berlaku
Politeknik Kesehatan Kementerian Kesehatan Semarang;B;0365/SK/BAN-PT/Akred/PT/I/2017;2017;6;2022-01-19;Masih berlaku
Politeknik Kesehatan Majapahit;C;242/SK/BAN-PT/Akred/PT/VII/2014;2014;7;2019-07-19;Masih berlaku
Politeknik Kesehatan RS Dr Soepraoen Kesdam V;C;409/SK/BAN-PT/Akred/PT/X/2014;2014;7;2019-10-24;Masih berlaku
Politeknik Kesehatan TNI AU Ciumbuleuit;B;1229/SK/BAN-PT/Akred/PT/XI/2015;2015;4;2020-12-19;Masih berlaku
Politeknik Kota Malang;C;290/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Politeknik Kotabaru;C;3141/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Politeknik Manufaktur Astra;B;1780/SK/BAN-PT/Akred/PT/IX/2016;2016;3;2021-09-02;Masih berlaku
Politeknik Maritim AMI Makassar;B;1938/SK/BAN-PT/Akred/PT/IX/2016;2016;9;2021-09-08;Masih berlaku
Politeknik Mekatronika Sanata Dharma;C;756/SK/BAN-PT/Akred/PT/VII/2015;2015;5;2020-07-10;Masih berlaku
Politeknik Muara Teweh;C;805/SK/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-07;Masih berlaku
Politeknik Muhammadiyah Pekalongan;C;806/SK/BAN-PT/Akred/PT/VIII/2015;2015;6;2020-08-07;Masih berlaku
Politeknik Muhammadiyah Yogyakarta;C;750/SK/BAN-PT/Akred/PT/VII/2015;2015;5;2020-07-10;Masih berlaku
Politeknik Negeri Ambon;B;353/SK/BAN-PT/Akred/PT/V/2015;2015;12;2020-05-09;Masih berlaku
Politeknik Negeri Balikpapan;C;425/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-15;Masih berlaku
Politeknik Negeri Bandung;A;2984/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-20;Masih berlaku
Politeknik Negeri Banjarmasin;C;389/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-09;Masih berlaku
Politeknik Negeri Bengkalis;C;893/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-21;Masih berlaku
Politeknik Negeri Jakarta;B;227/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Politeknik Negeri Jember;B;639/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-27;Masih berlaku
Politeknik Negeri Lampung, Bandar Lampung;C;1139/SK/BAN-PT/Akred/PT/XI/2015;2015;2;2020-11-07;Masih berlaku
Politeknik Negeri Lhokseumawe;B;3108/SK/BAN-PT/Akred/PT/XII/2016;2016;13;2021-12-27;Masih berlaku
Politeknik Negeri Manado;C;2671/SK/BAN-PT/Akred/PT/XI/2016;2016;9;2021-11-24;Masih berlaku
Politeknik Negeri Medan;B;632/SK/BAN-PT/Akred/PT/VI/2015;2015;1;2020-06-27;Masih berlaku
Politeknik Negeri Padang;B;764/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-10;Masih berlaku
Politeknik Negeri Pontianak;B;3112/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Politeknik Negeri Samarinda;B;484/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-23;Masih berlaku
Politeknik Negeri Semarang;A;2987/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-20;Masih berlaku
Politeknik Negeri Sriwijaya;B;635/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-27;Masih berlaku
Politeknik Negeri Tanah Laut;B;355/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-09;Masih berlaku
Politeknik Negeri Ujung Pandang;B;2995/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-20;Masih berlaku
Politeknik NSC;C;700/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Politeknik Palu;C;3170/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Politeknik Perkapalan Negeri Surabaya;B;814/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-07;Masih berlaku
Politeknik Pertanian Negeri Kupang;B;908/SK/BAN-PT/Akred/PT/VIII/2015;2015;8;2020-08-21;Masih berlaku
Politeknik Pertanian Negeri Pangkajene dan Kepulauan;B;407/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-15;Masih berlaku
Politeknik Pertanian Negeri Samarinda;C;307/SK/BAN-PT/Akred/PT/VIII/2014;2014;11;2019-08-30;Masih berlaku
Politeknik Piksi Input Serang;C;0047/SK/BAN-PT/Akred/PT/I/2016;2016;4;2021-01-29;Masih berlaku
Politeknik Sawunggalih Aji;C;1088/SK/BAN-PT/Akred/PT/VII/2016;2016;6;2021-07-01;Masih berlaku
Politeknik Sekayu;C;881/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Politeknik ST. Wilhelmus;C;3165/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Politeknik TEDC;C;1039/SK/BAN-PT/Akred/PT/VI/2016;2016;4;2021-06-17;Masih berlaku
Politeknik Teknologi Kimia Industri;B;727/SK/BAN-PT/Akred/PT/VII/2015;2015;1;2020-07-10;Masih berlaku
Politeknik Tonggak Equator;C;1244/SK/BAN-PT/Akred/PT/XI/2015;2015;11;2020-12-19;Masih berlaku
Politeknik Ubaya;B;305/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Politeknik Unisma Malang;C;701/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Sekolah Agama Islam Rahmaniyah Sekayu;C;673/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Buddha Nalanda;C;684/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Buddha Negeri Raden Wijaya;C;274/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-18;Masih berlaku
Sekolah Tinggi Agama Buddha Negeri Sriwijaya;B;479/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Hindu Negeri GDE Pudja Mataram;C;420/SK/BAN-PT/Akred/PT/V/2015;2015;8;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Hindu Negeri Tampung Penyang Palangkaraya;C;894/SK/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Al - Azhar Pekanbaru;C;925/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Agama Islam Al Falah As-Sunniyah;C;914/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Al Gazali Bulukumba;C;548/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-22;Masih berlaku
Sekolah Tinggi Agama Islam Al-Azhar Lubuklinggau;C;644/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-27;Masih berlaku
Sekolah Tinggi Agama Islam Al-Azhar Menganti Gresik, Gresik;B;1142/SK/BAN-PT/Akred/PT/XI/2015;2015;7;2020-11-07;Masih berlaku
Sekolah Tinggi Agama Islam Al-Azhary Cianjur;C;0509/SK/BAN-PT/Akred/PT/I/2017;2017;4;2022-01-31;Masih berlaku
Sekolah Tinggi Agama Islam Al-Aziziyah Samalanga;C;731/SK/BAN-PT/Akred/PT/VII/2015;2015;13;2020-07-10;Masih berlaku
Sekolah Tinggi Agama Islam Al-Gazali Bone;C;1065/SK/BAN-PT/Akred/PT/X/2015;2015;9;2020-10-03;Masih berlaku
Sekolah Tinggi Agama Islam Al-Ma`arif Baradatu Way Kanan Lampung;C;1038/SK/BAN-PT/Akred/PT/VI/2016;2016;2;2021-06-17;Masih berlaku
Sekolah Tinggi Agama Islam Al-Mawaddah Warrahmah Kolaka;C;1034/SK/BAN-PT/Akred/PT/VI/2016;2016;9;2021-06-17;Masih berlaku
Sekolah Tinggi Agama Islam An-Nawawi Purworejo;C;3103/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-27;Masih berlaku
Sekolah Tinggi Agama Islam At-Tanwir Bojonegoro;C;193/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Agama Islam Auliaurrasyidin Tembilahan;C;1786/SK/BAN-PT/Akred/PT/IX/2016;2016;10;2021-09-02;Masih berlaku
Sekolah Tinggi Agama Islam Azziyadah;C;1287/SK/BAN-PT/Akred/PT/XII/2015;2015;3;2020-12-29;Masih berlaku
Sekolah Tinggi Agama Islam Bakti Negara;C;1028/SK/BAN-PT/Akred/PT/VI/2016;2016;6;2021-06-17;Masih berlaku
Sekolah Tinggi Agama Islam Balikpapan;C;466/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Bani Saleh;C;0050/SK/BAN-PT/Akred/PT/I/2016;2016;4;2021-01-29;Masih berlaku
Sekolah Tinggi Agama Islam Barumun Raya;C;311/SK/BAN-PT/Akred/PT/VIII/2014;2014;1;2019-08-30;Masih berlaku
Sekolah Tinggi Agama Islam Bunga Bangsa;C;553/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-22;Masih berlaku
Sekolah Tinggi Agama Islam Bustanul Ulum;C;459/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Cirebon;C;539/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-22;Masih berlaku
Sekolah Tinggi Agama Islam Darud Da'wah Wal Irsyad;C;823/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-07;Masih berlaku
Sekolah Tinggi Agama Islam Darul Arafah Lau Bakeri Deli Serdang;C;906/SK/BAN-PT/Akred/PT/VIII/2015;2015;1;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Darul Hikmah;C;1224/SK/BAN-PT/Akred/PT/XI/2015;2015;13;2020-12-19;Masih berlaku
Sekolah Tinggi Agama Islam Darul Ulum Kandangan;C;424/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Darussalam Lampung;C;0582/SK/BAN-PT/Akred/PT/V/2016;2016;2;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Darussalam Martapura;C;472/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Denpasar;C;302/SK/BAN-PT/Akred/PT/VIII/2014;2014;8;2019-08-30;Masih berlaku
Sekolah Tinggi Agama Islam Diniyah;C;685/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Islam Haji Agus Salim Cikarang;C;1029/SK/BAN-PT/Akred/PT/X/2015;2015;4;2020-10-03;Masih berlaku
Sekolah Tinggi Agama Islam Hubbulwathan Duri;C;711/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Islam Ibnu Rusyid;C;241/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Sekolah Tinggi Agama Islam Jama'iyah Mahmudiyah Tanjung Pura Langkat;C;819/SK/BAN-PT/Akred/PT/VIII/2015;2015;1;2020-08-07;Masih berlaku
Sekolah Tinggi Agama Islam Kharisma Cicurug;C;867/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Kuala Kapuas;C;427/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Luqman Al-Hakim Surabaya;C;421/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Ma`arif Jambi;C;810/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-07;Masih berlaku
Sekolah Tinggi Agama Islam Ma`arif Kalirejo Lampung Tengah;C;483/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Majalengka;C;263/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-18;Masih berlaku
Sekolah Tinggi Agama Islam Miftahul Ula Nganjuk;C;378/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-09;Masih berlaku
Sekolah Tinggi Agama islam Miftahul Ulum;C;1013/SK/BAN-PT/Akred/PT/X/2015;2015;2;2020-09-19;Masih berlaku
Sekolah Tinggi Agama Islam Miftahul Ulum;C;1014/SK/BAN-PT/Akred/PT/X/2015;2015;10;2020-09-19;Masih berlaku
Sekolah Tinggi Agama Islam Miftahul Ulum Sumenep;C;3106/SK/BAN-PT/Akred/PT/XII/2016;2016;7;2021-12-27;Masih berlaku
Sekolah Tinggi Agama Islam Muhammadiyah Bima;C;209/SK/BAN-PT/Akred/PT/IV/2015;2015;8;2020-04-10;Masih berlaku
Sekolah Tinggi Agama Islam Muhammadiyah Paciran;C;280/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Sekolah Tinggi Agama Islam Muhammadiyah Probolinggo;C;544/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Sekolah Tinggi Agama Islam Muhammadiyah Sinjai;C;148/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Agama Islam Nahdlatul Ulama Pacitan;C;294/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Sekolah Tinggi Agama Islam Natuna;C;561/SK/BAN-PT/Akred/PT/VI/2015;2015;10;2020-06-22;Masih berlaku
Sekolah Tinggi Agama Islam Nazhatut Thullab;C;953/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Batusangkar;B;942/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Bengkalis;C;1135/SK/BAN-PT/Akred/PT/XI/2015;2015;10;2020-11-07;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Curup;C;689/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Gajah Putih Takengon;C;0559/SK/BAN-PT/Akred/PT/V/2016;2016;13;2021-06-10;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Jurai Siwo Metro;B;0368/SK/BAN-PT/Akred/PT/I/2017;2017;2;2022-01-19;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Kediri;B;1019/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-09-26;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Kerinci;C;009/BAN-PT/Ak-III/Inst/II/2012;2012;10;2017-02-10;Sudah Kedaluarsa
Sekolah Tinggi Agama Islam Negeri Kudus;C;629/SK/BAN-PT/Akred/PT/VI/2015;2015;6;2020-06-27;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Malikussaleh Lhokseumawe;C;1033/SK/BAN-PT/Akred/PT/X/2015;2015;13;2020-10-03;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Palopo;C;237/SK/BAN-PT/Akred/PT/VII/2014;2014;9;2019-07-19;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Pamekasan;B;847/SK/BAN-PT/Ak-SURV/PT/VIII/2015;2015;7;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Pare-Pare;B;194/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Pekalongan;C;876/SK/BAN-PT/Akred/PT/VIII/2015;2015;6;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Purwokerto;B;495/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Salatiga;B;691/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Sultan Qaimuddin Kendari;C;877/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Syaikh Abdurrahman Siddik Bangka Belitung;C;617/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-27;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Teungku Dirundeng Meulaboh;C;0065/SK/BAN-PT/Akred/PT/II/2016;2016;13;2021-02-12;Masih berlaku
Sekolah Tinggi Agama Islam Negeri Watampone;B;631/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Agama Islam Ngawi;C;461/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Nida El Adabi Parung Panjang Bogor;C;1237/SK/BAN-PT/Akred/PT/XI/2015;2015;4;2020-12-19;Masih berlaku
Sekolah Tinggi Agama Islam Nurul Falah Airmolek Indragiri;C;812/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-07;Masih berlaku
Sekolah Tinggi Agama Islam Nurul Hidayat Selat Panjang;C;430/SK/BAN-PT/Akred/PT/V/2015;2015;10;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Nurul Huda Kapongan Situbondo;C;912/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Panca Budi;C;905/SK/BAN-PT/Akred/PT/VIII/2015;2015;1;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Pancawahana Bangil;C;878/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Pangeran Diponegoro Nganjuk;C;403/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Pertinu;C;464/SK/BAN-PT/Akred/PT/V/2015;2015;1;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Raden Rahmat Kepanjen;C;271/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Sekolah Tinggi Agama Islam Rasyidiyah Khalidiyah Kalimantan Selatan;B;441/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Rokan Besar Batu Rokan Hilir Riau;C;412/SK/BAN-PT/Akred/PT/V/2015;2015;10;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Salahuddin;C;411/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-15;Masih berlaku
Sekolah Tinggi Agama Islam Sangatta Kutai Timur;B;519/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-12;Masih berlaku
Sekolah Tinggi Agama Islam Sayid Sabiq Indramayu;C;176/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Sekolah Tinggi Agama Islam Sepakat Segenep Kutacane;C;930/SK/BAN-PT/Akred/PT/VIII/2015;2015;13;2020-08-29;Masih berlaku
Sekolah Tinggi Agama Islam Solok Nan Indah;C;666/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Islam Sufyan Tsauri Majenang;C;860/SK/BAN-PT/Akred/PT/VIII/2015;2015;6;2020-08-21;Masih berlaku
Sekolah Tinggi Agama Islam Sultan Abdurrahman;C;1043/SK/BAN-PT/Akred/PT/X/2015;2015;10;2020-10-03;Masih berlaku
Sekolah Tinggi Agama Islam Sultan Syarif Hasyim Siak Sri Indrapura;C;723/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-10;Masih berlaku
Sekolah Tinggi Agama Islam Syarif Muhammad Raha;C;981/SK/BAN-PT/Akred/PT/IX/2015;2015;9;2020-09-03;Masih berlaku
Sekolah Tinggi Agama Islam Syarifuddin Lumajang;C;303/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Sekolah Tinggi Agama Islam Syekh H. Abdul Halim Al-Ishlahiyah;C;697/SK/BAN-PT/Akred/PT/VII/2015;2015;1;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Islam Tapanuli;C;732/SK/BAN-PT/Akred/PT/VII/2015;2015;1;2020-07-10;Masih berlaku
Sekolah Tinggi Agama Islam Tasikmalaya;C;175/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Agama Islam Tebing Tinggi Deli;C;571/SK/BAN-PT/Akred/PT/VI/2015;2015;1;2020-06-22;Masih berlaku
Sekolah Tinggi Agama Islam Tuanku Tambusai Riau;C;679/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Sekolah Tinggi Agama Islam UISU Pematangsiantar;C;481/SK/BAN-PT/Akred/PT/V/2015;2015;1;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam Walisembilan;C;477/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-23;Masih berlaku
Sekolah Tinggi Agama Islam YASBA Kalianda;C;358/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-09;Masih berlaku
Sekolah Tinggi Agama Islam YPK Imam Bonjol;C;938/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Agama Kristen Anak Bangsa;C;975/SK/BAN-PT/Akred/PT/IX/2015;2015;7;2020-09-03;Masih berlaku
Sekolah Tinggi Agama Kristen Arastamar Soe;C;809/SK/BAN-PT/Akred/PT/VIII/2015;2015;14;2020-08-07;Masih berlaku
Sekolah Tinggi Agama Kristen Negeri Kupang;C;808/SK/BAN-PT/Akred/PT/VIII/2015;2015;8;2020-08-07;Masih berlaku
Sekolah Tinggi Agama Kristen Negeri Manado;C;934/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-29;Masih berlaku
Sekolah Tinggi Agama Kristen Negeri Tarutung;C;1251/SK/BAN-PT/Akred/PT/XI/2015;2015;1;2020-12-19;Masih berlaku
Sekolah Tinggi Agama Kristen Protestan Negeri Ambon;B;1220/SK/BAN-PT/Akred/PT/XI/2015;2015;12;2020-12-19;Masih berlaku
Sekolah Tinggi Agama Kristen Protestan Negeri Sentani;C;465/SK/BAN-PT/Akred/PT/V/2015;2015;14;2020-05-23;Masih berlaku
