,wilayah,strata,perguruanTinggi,kotaKab,prodi,noSK,tahunSK,peringkat,tanggalKadaluarsa,status
0,06 ,D4,Akademi Militer Magelang,Magelang,Teknik Mesin Pertahanan ,216/SK/BAN-PT/Ak-X/Dpl-IV/X/2013 ,2013 ,B ,26-10-2018 ,masih berlaku 
1,13 ,S1 ,Institut Agama Islam Negeri Ar-Raniry,Banda,Tafsir Hadist ,053 ,2010 ,B ,16-04-2015 ,Kadaluarsa 
2,01 ,S1 ,Sekolah Tinggi Agama Islam PERTINU Padang Sidempuan,Padang,Pendidikan Agama Islam ,029 ,2010 ,C ,03-12-2015 ,Kadaluarsa 
3,01 ,S1 ,Universitas Negeri Medan,Medan,"Pendidikan Seni Drama, Tari dan Musik ",008 ,2011 ,C ,23-06-2016 ,Kadaluarsa 
4,01 ,S1 ,Universitas Sumatera Utara,Medan,Matematika ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
5,01 ,S1 ,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Tapanuli Selatan,Padang,Administrasi Pendidikan ,043 ,2011 ,C ,28-01-2016 ,Kadaluarsa 
6,14 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Ottow dan Geissler Jayapura,Jayapura,Ekonomi Pembangunan ,032 ,2008 ,C ,12-01-2013 ,Kadaluarsa 
7,14 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Ottow dan Geissler Jayapura,Jayapura,Manajemen ,032 ,2008 ,B ,12-01-2013 ,Kadaluarsa 
8,04 ,S1 ,Sekolah Tinggi Manajemen Bisnis Telkom,Bandung,Manajemen ,034 ,2008 ,A ,26-01-2013 ,Kadaluarsa 
9,03 ,S2 ,Sekolah Tinggi Ilmu Ekonomi Supra,Jakarta,Manajemen ,026/BAN-PT/Ak-V/S2/I/2008 ,2008 ,C ,12-01-2013 ,Kadaluarsa 
10,03 ,S2 ,Sekolah Tinggi Filsafat Theologia,Jakarta,Teologi ,027/BAN-PT/Ak-V/S2/I/2008 ,2008 ,A ,18-01-2013 ,Kadaluarsa 
11,04 ,S1 ,Universitas Pendidikan Indonesia,Bandung,Pendidikan Tata Niaga ,037 ,2008 ,A ,22-02-2013 ,Kadaluarsa 
12,03 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Tri Dharma Widya,Jakarta,Akuntansi ,001 ,1998 ,B ,11-08-2003 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 15-11-2016 
13,03 ,S1 ,Sekolah Tinggi Teknologi Indonesia Jakarta,Jakarta,Teknik Sipil ,002 ,1996 ,C ,21-12-2001 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 18-09-2013 
14,03 ,S1 ,Sekolah Tinggi Teknologi Indonesia Jakarta,Jakarta,Teknik Mesin ,002 ,1996 ,C ,21-12-2001 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 18-09-2013 
15,03 ,S1 ,Universitas Satyagama,Jakarta,Pendidikan Agama Islam ,044 ,2011 ,C ,04-02-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 03-02-2016 
16,06 ,S1 ,Universitas Muhammadiyah Purwokerto,Banyumas,Agribisnis / Sosial Ekonomi Pertanian ,023 ,2010 ,C ,29-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 21-09-2015 
17,08 ,S1 ,Universitas Mataram,Mataram,Penyuluhan dan Komunikasi Pertanian ,025 ,2010 ,B ,12-11-2015 ,Kadaluarsa 
18,08 ,S1 ,Universitas Mataram,Mataram,Hama dan Penyakit Tumbuhan ,032 ,2010 ,B ,23-12-2015 ,Kadaluarsa 
19,08 ,S1 ,Universitas Mataram,Mataram,Ilmu Tanah ,007 ,2010 ,C ,24-06-2015 ,Kadaluarsa 
20,08 ,S1 ,Universitas Mataram,Mataram,Teknologi Hasil Pertanian ,025 ,2010 ,B ,12-11-2015 ,Kadaluarsa 
21,08 ,S1 ,Universitas Mataram,Mataram,Pemuliaan Tanaman ,008 ,2010 ,B ,02-07-2015 ,Kadaluarsa 
22,08 ,S1 ,Universitas Ngurah Rai,Denpasar,Arsitektur ,025 ,2010 ,C ,12-11-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 11-05-2015 
23,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Ahwal Al-Syakhshiyyah ,033 ,2010 ,B ,30-12-2015 ,Kadaluarsa 
24,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Bimbingan dan Penyuluhan Agama Islam ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
25,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Komunikasi dan Penyiaran Agama Islam ,038 ,2011 ,B ,14-01-2016 ,Kadaluarsa 
26,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Pendidikan Agama Islam ,031 ,2010 ,B ,17-12-2015 ,Kadaluarsa 
27,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Pendidikan Bahasa Arab ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
28,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Muamalah ,033 ,2010 ,B ,30-12-2015 ,Kadaluarsa 
29,09 ,S1 ,Sekolah Tinggi Agama Islam Darud Da'wah wal-Irsyad (DDI) Pinrang,Pinrang,Pendidikan Agama Islam ,023 ,2010 ,C ,29-10-2015 ,Kadaluarsa 
30,09 ,S1 ,Sekolah Tinggi Agama Islam Darud Da'wah wal-Irsyad (DDI) Pare-pare,Pare-Pare,Pendidikan Agama Islam ,020 ,2010 ,C ,08-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-08-2015 
31,09 ,S1 ,Universitas Sam Ratulangi,Manado,Teknologi Hasil Perikanan ,046 ,2011 ,B ,11-02-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 16-11-2016 
32,10 ,S1 ,Institut Agama Islam Negeri Imam Bonjol,Sumatera,Muamalah ,033 ,2010 ,B ,30-12-2015 ,Kadaluarsa 
33,10 ,S1 ,Universitas Baiturahmah,Padang,Pendidikan Dokter Gigi ,018/BAN-PT/Ak-XIII/S1/IX/2010 ,2010 ,C ,17-09-2015 ,Kadaluarsa 
34,11 ,S1 ,Sekolah Tinggi Manajemen dan Ilmu Komputer Samarinda,Kalimantan,Sistem Informasi ,005/BAN-PT/Ak-XIV/S1/VI/2011 ,2011 ,C ,03-06-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 06-06-2016 
35,10 ,S1 ,Universitas Riau,Pekanbaru,Ilmu Administrasi Negara ,046 ,2011 ,B ,11-02-2016 ,Kadaluarsa 
36,02 ,D3,Akademi Sekretari dan Manajemen Sriwijaya,Ilir,Sekretari ,001 ,2000 ,C ,08-03-2005 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-08-2013 
37,03 ,D3,Sekolah Tinggi Ilmu Ekonomi Swadaya,Jakarta,Keuangan dan Perbankan ,004 ,2010 ,B ,11-06-2015 ,Kadaluarsa 
38,03 ,D3,Akademi Akuntansi Borobudur,Jakarta,Akuntansi ,001 ,2010 ,C ,30-04-2015 ,Kadaluarsa 
39,10 ,D3,Akademi Sekretari dan Manajemen Indonesia Padang,Sumatera,Kesekretariatan ,002 ,2002 ,B ,04-04-2007 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
40,10 ,D3,Akademi Sekretari dan Manajemen Indonesia Padang,Sumatera,Manajemen ,002 ,2002 ,B ,04-04-2007 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
41,03 ,D3,Akademi Keuangan dan Perbankan Borobudur,Jakarta,Keuangan dan Perbankan ,001 ,2010 ,B ,30-04-2015 ,Kadaluarsa 
42,03 ,D3,Akademi Bahasa Asing Borobudur,Jakarta,Bahasa Inggris ,025 ,2010 ,B ,17-12-2015 ,Kadaluarsa 
43,03 ,D3,Akademi Bahasa Asing Borobudur,Jakarta,Bahasa Jepang ,029 ,2011 ,B ,14-01-2016 ,Kadaluarsa 
44,05 ,D3,Akademi Manajemen Administrasi (AMA) Yogyakarta,Yogyakarta,Manajemen Administrasi ,004 ,2010 ,C ,11-06-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 08-12-2014 
45,03 ,S2 ,Sekolah Tinggi Ilmu Ekonomi Tri Dharma Widya,Jakarta,Manajemen ,025 ,1998 ,B ,13-09-2003 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 14-10-2016 
46,03 ,S2 ,Universitas Indonesia,Jakarta,Ilmu Komunikasi ,014 ,2010 ,B ,22-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 01-10-2015 
47,01 ,D3,Universitas Sisingamangaraja XII,Medan,Teknik Komputer ,027/BAN-PT/Ak-X/Dpl-III/XII/2010 ,2010 ,C ,30-12-2015 ,Kadaluarsa 
48,03 ,D3,Sekolah Tinggi Ilmu Manajemen LPMI,Jakarta,Manajemen Transportasi Udara ,017 ,2001 ,C ,03-10-2006 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
49,01 ,S1 ,Universitas Graha Nusantara,Padang,Pendidikan Fisika ,020 ,2010 ,C ,08-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-11-2016 
50,03 ,S1 ,Universitas Muhammadiyah Jakarta,Jakarta,Ilmu Administrasi Negara ,008 ,2010 ,B ,02-07-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-12-2014 
51,06 ,S1 ,Universitas Sebelas Maret,Surakarta,Sastra Jawa ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
52,05 ,S1 ,Universitas Gadjah Mada,Yogyakarta,Kedokteran Hewan ,042 ,2011 ,A ,21-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 14-08-2015 
53,02 ,S1 ,Sekolah Tinggi Agama Islam Ma'arif Metro,Metro,Pendidikan Agama Islam ,022 ,2010 ,B ,22-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 13-08-2015 
54,06 ,S1 ,Universitas Kristen Satya Wacana,Salatiga,Sosial Ekonomi Pertanian/Agribisnis ,016 ,2010 ,B ,27-08-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 13-07-2015 
55,07 ,S2 ,Universitas Airlangga,Surabaya,Ilmu Kesehatan Masyarakat ,071 ,2001 ,C ,14-11-2006 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 25-07-2014 
56,09 ,D3,Politeknik Negeri Ujung Pandang,Makassar,Teknik Konstruksi Sipil ,020 ,2010 ,B ,29-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 16-10-2015 
57,03 ,D3,"Akademi Seni Rupa dan Desain ""ISWI""",Jakarta,Desain Mode ,004 ,2010 ,C ,11-06-2015 ,Kadaluarsa 
58,01 ,S1 ,Universitas Sumatera Utara,Medan,Sastra Inggris ,053 ,2011 ,B ,18-03-2016 ,Kadaluarsa 
59,01 ,S1 ,Universitas Sumatera Utara,Medan,Etnomusikologi ,029 ,2010 ,B ,03-12-2015 ,Kadaluarsa 
60,01 ,S1 ,Universitas Sumatera Utara,Medan,Sejarah ,029 ,2010 ,B ,03-12-2015 ,Kadaluarsa 
61,11 ,S1 ,Universitas Lambung Mangkurat,Banjarmasin,Sosial Ekonomi Pertanian / Agribisnis ,022 ,2010 ,C ,22-10-2015 ,Kadaluarsa 
62,01 ,S1 ,Universitas Sisingamangaraja XII,Medan,Teknik Sipil ,003/BAN-PT/Ak-XIV/S1/V/2011 ,2011 ,C ,20-05-2016 ,Kadaluarsa 
63,01 ,S1 ,Universitas Sisingamangaraja XII,Medan,Manajemen ,001 ,2011 ,C ,06-05-2016 ,Kadaluarsa 
64,07 ,S1 ,Universitas Merdeka Malang,Malang,Ilmu Administrasi Niaga ,042 ,2011 ,B ,21-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 20-01-2016 
65,07 ,D2,Institut Keislaman Hasyim Asy'ari (IKAHA),Jombang,Pendidikan Guru Raudathul Awal (PGRA)/Pendidikan Guru TK Islam (PGTKI) ,003 ,2004 ,B ,26-10-2009 ,Kadaluarsa 
66,07 ,D2,Institut Keislaman Hasyim Asy'ari (IKAHA),Jombang,Pendidikan Guru Madrasah Ibtidaiyah (PGMI)/Pendidikan Guru SD Islam (PGSDI) ,003 ,2004 ,B ,26-10-2009 ,Kadaluarsa 
67,01 ,D3,Universitas Sumatera Utara,Medan,Statistika ,026/SK/BAN-PT/Akred/Dpl-III/IX/2015 ,2010 ,C ,23-12-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 06-10-2016 
68,01 ,D3,Universitas Sumatera Utara,Medan,Kimia Analis ,008 ,2010 ,C ,09-07-2015 ,Kadaluarsa 
69,01 ,D3,Universitas Sumatera Utara,Medan,Kimia Industri ,013/BAN-PT/Ak-X/Dpl-III/VIII/2010 ,2010 ,C ,20-08-2015 ,Kadaluarsa 
70,02 ,D3,Sekolah Tinggi Bahasa Asing Methodist Palembang,Palembang,Bahasa Inggris ,032 ,2011 ,C ,04-02-2016 ,Kadaluarsa 
71,03 ,D3,Politeknik Swadharma,Tangerang,Teknik Industri ,012 ,2010 ,C ,06-08-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 21-04-2016 
72,03 ,D3,Sekolah Tinggi Teknik PLN,Jakarta,Teknik Elektro ,027/BAN-PT/Ak-X/Dpl-III/XII/2010 ,2010 ,C ,30-12-2015 ,Kadaluarsa 
73,04 ,D3,Universitas Sangga Buana,Bandung,Keuangan Perbankan ,031 ,2011 ,B ,28-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 07-10-2015 
74,04 ,D3,Universitas Nurtanio,Bandung,Avionika ,002 ,2011 ,B ,09-06-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-10-2016 
75,04 ,D3,Universitas Nurtanio,Bandung,Rangka Pesawat ,002 ,2011 ,B ,09-06-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 15-09-2016 
76,05 ,D3,Universitas Sanata Dharma,Sleman,Mekatronika ,007 ,2010 ,B ,02-07-2015 ,Kadaluarsa 
77,06 ,D3,Universitas Stikubank,Semarang,Teknik Komputer ,002 ,2010 ,C ,14-05-2015 ,Kadaluarsa 
78,07 ,D3,Politeknik Negeri Jember,Jember,Hortikultura ,028 ,2011 ,B ,07-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 05-01-2016 
79,09 ,D3,Politeknik Negeri Manado,Manado,Teknik Elektro ,003 ,2011 ,B ,17-06-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 03-06-2016 
80,09 ,D3,Universitas Negeri Gorontalo,Gorontalo,Teknik Elektro ,026/SK/BAN-PT/Akred/Dpl-III/IX/2015 ,2010 ,C ,23-12-2015 ,Kadaluarsa 
81,10 ,D3,Politeknik Batam,Kepulauan,Akuntansi ,026/SK/BAN-PT/Akred/Dpl-III/IX/2015 ,2010 ,B ,23-12-2015 ,Kadaluarsa 
82,10 ,D3,Universitas Negeri Padang,Padang,Teknik Sipil Bangunan Gedung ,030/BAN-PT/Ak-X/Dpl-III/I/2011 ,2011 ,B ,21-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 25-07-2016 
83,06 ,S2 ,Universitas Diponegoro,Semarang,Gizi Masyarakat ,004 ,2010 ,C ,11-06-2015 ,Kadaluarsa 
84,01 ,S1 ,Institut Agama Islam Daar Al Ulum Asahan,Asahan,Kependidikan Islam ,003 ,2010 ,B ,14-05-2015 ,Kadaluarsa 
85,01 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Swadaya Medan,Medan,Akuntansi ,038 ,2002 ,C ,06-09-2007 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 26-07-2016 
86,13 ,S1 ,Sekolah Tinggi Ilmu Ekonomi (STIE) Indonesia Banda Aceh,Banda,Manajemen ,032 ,2010 ,C ,23-12-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 21-12-2015 
87,01 ,S1 ,Universitas Sisingamangaraja XII Tapanuli Utara (UNITA),Tapanuli,"Pendidikan Bahasa, Sastra Indonesia dan Daerah ",043 ,2011 ,C ,28-01-2016 ,Kadaluarsa 
88,01 ,S1 ,Universitas Sisingamangaraja XII Tapanuli Utara (UNITA),Tapanuli,Teknik Industri ,051 ,2011 ,C ,11-03-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 15-12-2015 
89,02 ,S1 ,Universitas Lampung,Bandar,Agronomi ,020 ,2010 ,B ,08-10-2015 ,Kadaluarsa 
90,02 ,S1 ,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Pringsewu,Tenggamus,Pendidikan Bahasa Indonesia ,042 ,2011 ,C ,21-01-2016 ,Kadaluarsa 
91,03 ,S1 ,Universitas Negeri Jakarta,Jakarta,Pendidikan Seni Musik ,020 ,2010 ,B ,08-10-2015 ,Kadaluarsa 
92,03 ,S1 ,Universitas Pelita Harapan,Jakarta,Pendidikan Dokter ,038 ,2011 ,B ,14-01-2016 ,Kadaluarsa 
93,03 ,S1 ,Universitas Pelita Harapan,Jakarta,Teknik Komputer ,020 ,2010 ,B ,08-10-2015 ,Kadaluarsa 
94,04 ,S1 ,Universitas Padjadjaran,Bandung,Ilmu Ekonomi dan Studi Pembangunan (IESP) ,020 ,2010 ,A ,08-10-2015 ,Kadaluarsa 
95,04 ,S1 ,Universitas Islam Nusantara,Bandung,Ilmu Hukum ,005/BAN-PT/Ak-XIV/S1/VI/2011 ,2011 ,B ,03-06-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-11-2015 
96,04 ,S1 ,Universitas Swadaya Gunung Djati,Cirebon,Agronomi ,018/BAN-PT/Ak-XIII/S1/IX/2010 ,2010 ,C ,17-09-2015 ,Kadaluarsa 
97,05 ,S1 ,Institut Pertanian STIPER Yogyakarta,Sleman,Agronomi ,018/BAN-PT/Ak-XIII/S1/IX/2010 ,2010 ,B ,17-09-2015 ,Kadaluarsa 
98,07 ,S1 ,Universitas Jember,Jember,Biologi ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
99,07 ,S1 ,Universitas Jember,Jember,Fisika ,002 ,2011 ,B ,13-05-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-12-2016 
100,07 ,S1 ,Universitas Jember,Jember,Teknologi Hasil Pertanian ,019 ,2010 ,B ,24-09-2015 ,Kadaluarsa 
101,07 ,S1 ,Sekolah Tinggi Manajemen Infomatika dan Teknik Komputer (STIKOM) Surabaya,Surabaya,Sistem Informasi ,029 ,2010 ,B ,03-12-2015 ,Kadaluarsa 
102,07 ,S1 ,Sekolah Tinggi Ilmu Administrasi Malang,Jawa,Ilmu Administrasi Niaga ,005 ,2010 ,B ,04-06-2015 ,Kadaluarsa 
103,07 ,S1 ,Universitas Wijaya Kusuma Surabaya,Surabaya,Teknologi Hasil Pertanian ,023 ,2010 ,B ,29-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 13-04-2015 
104,07 ,S1 ,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Widya Yuwana Madiun,Madiun,Ilmu Pendidikan Theologi ,019 ,2010 ,B ,24-09-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 24-06-2015 
105,09 ,S1 ,Universitas Hasanuddin,Makassar,Pemanfaatan Sumberdaya Perikanan ,031 ,2010 ,A ,17-12-2015 ,Kadaluarsa 
106,09 ,S1 ,Universitas Hasanuddin,Makassar,Teknik Perkapalan ,002 ,2011 ,B ,13-05-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 11-01-2017 
107,10 ,S1 ,Universitas Jambi,Muaro,Produksi Ternak ,001 ,2011 ,B ,06-05-2016 ,Kadaluarsa 
108,10 ,S1 ,Universitas Jambi,Muaro,Nutrisi dan Makanan Ternak ,005/BAN-PT/Ak-XIV/S1/VI/2011 ,2011 ,A ,03-06-2016 ,Kadaluarsa 
109,11 ,S1 ,Universitas Lambung Mangkurat,Banjarmasin,Budidaya Hutan ,023 ,2010 ,B ,29-10-2015 ,Kadaluarsa 
110,11 ,S1 ,Universitas Lambung Mangkurat,Banjarmasin,Penyuluhan dan Komunikasi Pertanian ,016 ,2010 ,B ,27-08-2015 ,Kadaluarsa 
111,11 ,S1 ,Universitas Lambung Mangkurat,Banjarmasin,Ilmu Hama dan Penyakit Tumbuhan ,023 ,2010 ,B ,29-10-2015 ,Kadaluarsa 
112,11 ,S1 ,Universitas Lambung Mangkurat,Banjarmasin,Teknologi Hasil Hutan ,023 ,2010 ,B ,29-10-2015 ,Kadaluarsa 
113,11 ,S1 ,Universitas Lambung Mangkurat,Banjarmasin,Manajemen Hutan ,023 ,2010 ,B ,29-10-2015 ,Kadaluarsa 
114,14 ,S1 ,Sekolah Tinggi Filsafat Fajar Timur Jayapura,Jayapura,Filsafat Theologia ,019 ,2010 ,B ,24-09-2015 ,Kadaluarsa 
115,01 ,D3,Universitas Sumatera Utara,Medan,Keperawatan ,013/BAN-PT/Ak-X/Dpl-III/VIII/2010 ,2010 ,C ,20-08-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 03-02-2014 
116,09 ,D3,Universitas Negeri Gorontalo,Gorontalo,Teknik Sipil ,032 ,2011 ,C ,04-02-2016 ,Kadaluarsa 
117,09 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Eben Haezer,Manado,Manajemen ,003/BAN-PT/Ak-XIV/S1/V/2011 ,2011 ,C ,20-05-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 26-04-2016 
118,04 ,S1 ,Universitas Padjadjaran,Bandung,Manajemen ,042 ,2011 ,A ,21-01-2016 ,Kadaluarsa 
119,07 ,S1 ,Institut Keislaman Hasyim Asy'ari (IKAHA),Jombang,Muamalah ,029 ,2010 ,B ,03-12-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 02-09-2015 
120,11 ,S1 ,Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Pontianak,Pontianak,Pendidikan Pancasila dan Kewarganegaraan (PPKn) ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,C ,07-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 11-08-2015 
121,01 ,S1 ,Institut Agama Islam Negeri Sumatera Utara,Sumatera,Jinayah Siyasah ,008 ,2011 ,B ,23-06-2016 ,Kadaluarsa 
122,13 ,S1 ,Universitas Syiah Kuala,Banda,Kedokteran Hewan ,038 ,2011 ,B ,14-01-2016 ,Kadaluarsa 
123,04 ,S1 ,Sekolah Tinggi Bahasa Asing JIA,Bekasi,Bahasa Jepang ,020 ,2005 ,B ,27-10-2010 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
124,05 ,S1 ,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,Sleman,Aqidah Filsafat ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,A ,07-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-07-2015 
125,05 ,S1 ,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,Sleman,Bimbingan dan Penyuluhan Islam ,029 ,2010 ,B ,03-12-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 03-06-2015 
126,05 ,S1 ,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,Sleman,Jinayah Siyasah ,030 ,2010 ,B ,10-12-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 13-07-2015 
127,06 ,S1 ,Institut Agama Islam Negeri Walisongo Semarang,Semarang,Bimbingan dan Penyuluhan Islam ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,A ,07-01-2016 ,Kadaluarsa 
128,06 ,S1 ,Universitas Sebelas Maret,Surakarta,Kriya Seni ,003/BAN-PT/Ak-XIV/S1/V/2011 ,2011 ,B ,20-05-2016 ,Kadaluarsa 
129,01 ,S1 ,Universitas Sisingamangaraja XII,Medan,Akuntansi ,001 ,2011 ,C ,06-05-2016 ,Kadaluarsa 
130,06 ,S1 ,Institut Agama Islam Negeri Walisongo Semarang,Semarang,Komunikasi Penyiaran Islam ,048 ,2011 ,A ,25-02-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 29-10-2015 
131,05 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Kerjasama,Yogyakarta,Manajemen ,022 ,2003 ,C ,08-12-2008 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
132,05 ,S1 ,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,Sleman,Tafsir Hadist ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-07-2015 
133,05 ,S1 ,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,Sleman,Perbandingan Mazhab dan Hukum ,030 ,2010 ,B ,10-12-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 01-07-2015 
134,05 ,D3,Sekolah Tinggi Ilmu Ekonomi Kerjasama,Yogyakarta,Keuangan dan Perbankan ,013 ,2003 ,C ,08-12-2008 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
135,04 ,D3,Akademi Teknologi Bogor,Bogor,Teknik Mesin ,005 ,2010 ,C ,18-06-2015 ,Kadaluarsa 
136,01 ,D3,Politeknik Mandiri Bina Prestasi (MBP),Medan,Teknik Elektronika ,027/BAN-PT/Ak-X/Dpl-III/XII/2010 ,2010 ,C ,30-12-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 02-07-2015 
137,02 ,D3,Institut Agama Islam Negeri Raden Fatah Palembang,Palembang,Perbankan Syariah ,012 ,2010 ,B ,06-08-2015 ,Kadaluarsa 
138,06 ,D3,Sekolah Tinggi Ilmu Ekonomi Surakarta,Surakarta,Akuntansi ,003 ,2011 ,C ,17-06-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 22-12-2015 
139,03 ,S2 ,Universitas Indonesia,Jakarta,Kajian Timur Tengah dan Islam ,021 ,2011 ,A ,28-01-2016 ,Kadaluarsa 
140,05 ,S2 ,Universitas Gadjah Mada,Yogyakarta,Ilmu Administrasi Negara ,021 ,2011 ,A ,28-01-2016 ,Kadaluarsa 
141,09 ,S1 ,Universitas Hasanuddin,Makassar,Sosial Ekonomi Peternakan ,002 ,2011 ,A ,13-05-2016 ,Kadaluarsa 
142,09 ,S1 ,Universitas 45 Makassar,Makassar,Akuntansi ,002 ,2011 ,B ,13-05-2016 ,Kadaluarsa 
