,kode,prodi,status,jenjang,dosenTetap,mahasiswa,link
70,63412 ,Kesekretariatan ,Aktif ,D3 ,7 ,149 ,http://forlap.dikti.go.id/prodi/detail/MkMyQjA1RjgtN0E0OS00MTZBLThFQTUtMTNBNTBDNjM4NjI0/0
71,54415 ,Perencanaan Sumber Daya Lahan ,Aktif ,D3 ,7 ,101 ,http://forlap.dikti.go.id/prodi/detail/QUM4OUNEM0YtM0EwQy00NDNGLUE2RjItNzkxREVGODY1N0Q4/0
72,54432 ,Produksi Ternak ,Aktif ,D3 ,17 ,223 ,http://forlap.dikti.go.id/prodi/detail/Q0Q3RUQ4RjEtRTM3OS00ODdFLTg4NjAtNUU4MTRGNTc1MDQz/0
73,26401 ,Teknik Industri ,Pembinaan ,D3 ,3 ,46 ,http://forlap.dikti.go.id/prodi/detail/MUQzOEQzNUYtQjA1NS00MTVFLTgwOUQtQ0YwODNCRDNBRkQw/0
74,46501 ,"Biologi, Kampus K. Bandung ",Pembinaan ,D2 ,0 ,5 ,http://forlap.dikti.go.id/prodi/detail/QUY2N0E1MzAtOUU2QS00MzhCLTg3NzEtMUJDOTYyM0IxNTZF/0
75,45501 ,"Fisika, Kampus K. Bandung ",Pembinaan ,D2 ,0 ,4 ,http://forlap.dikti.go.id/prodi/detail/RjRCOERDMEItNDY3RC00MUU2LUI2NDItNTRCRUNCNDI1MDI5/0
76,47501 ,"Kimia, Kampus K. Bandung ",Pembinaan ,D2 ,0 ,5 ,http://forlap.dikti.go.id/prodi/detail/RURCODI1OTUtOEYwRS00Q0MwLUE5NjUtRTM4OUVGOEE1QUI5/0
77,54554 ,Pengelolaan Sumber Daya Perikanan. K Kab. Rembang ,Aktif ,D2 ,0 ,0 ,http://forlap.dikti.go.id/prodi/detail/Q0JEMEZFNEMtQkNEQy00RTk3LTkzMkYtMzA4ODlERURERDAx/0
78,46601 ,Biologi Terapan ,Pembinaan ,D1 ,0 ,0 ,http://forlap.dikti.go.id/prodi/detail/RjQ3QjI0NDUtOTEwMC00Q0U4LUJEQTQtRkMxRjdCNDlCMjA4/0
79,54647 ,"Budidaya Perikanan (Lele, Bawal) ",Pembinaan ,D1 ,0 ,0 ,http://forlap.dikti.go.id/prodi/detail/QzhBQjJBMDYtNTU4Mi00Njg3LTlBMEUtMEZBOTRCRjI5QkNF/0
80,54631 ,Peternakan (Agribisnis Ternak Unggas) ,Pembinaan ,D1 ,0 ,0 ,http://forlap.dikti.go.id/prodi/detail/NTU3NzQ3NTktRkM3Qy00M0U4LTg1QTctNDI1QTgxRDQyQTE1/0
